distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,temp_diff,trip_consume,trip_cost
16.0,3.8,41,22.0,12,E10,0,0,0,10.0,0.608,0.8390399999999999
4.2,5.6,32,22.0,18,E10,0,0,0,4.0,0.2352,0.324576
101.9,5.2,75,22.0,18,E10,0,0,0,4.0,5.298800000000001,7.312344
93.9,4.8,88,23.0,18,E10,1,0,1,5.0,4.5072,6.219936
25.7,4.9,50,22.0,10,SP98,0,1,0,12.0,1.2593,1.838578
16.0,4.1,40,22.0,10,SP98,0,0,0,12.0,0.6559999999999999,0.9577599999999998
16.1,4.5,32,22.0,19,SP98,0,0,0,3.0,0.7245,1.05777
16.0,4.4,40,22.0,7,SP98,1,1,0,15.0,0.7040000000000001,1.02784
16.0,4.5,41,22.0,11,SP98,0,0,0,11.0,0.72,1.0512
24.7,4.5,26,22.0,10,SP98,0,0,0,12.0,1.1115,1.62279
16.0,3.9,42,22.0,8,SP98,0,0,0,14.0,0.624,0.91104
15.4,4.6,43,22.0,16,SP98,0,0,0,6.0,0.7084,1.034264
16.0,3.8,40,22.0,8,SP98,0,0,0,14.0,0.608,0.8876799999999999
32.1,4.5,50,22.0,16,SP98,0,0,0,6.0,1.4445000000000001,2.1089700000000002
25.9,4.4,40,22.0,14,SP98,0,0,0,8.0,1.1396,1.663816
48.6,4.3,44,22.0,12,SP98,0,0,0,10.0,2.0898,3.0511079999999997
37.2,4.0,45,22.0,20,SP98,0,0,1,2.0,1.4880000000000002,2.17248
28.8,3.9,35,22.0,15,SP98,0,0,1,7.0,1.1232,1.639872
6.7,5.0,30,22.0,17,SP98,0,0,0,5.0,0.335,0.48910000000000003
7.4,4.1,25,22.0,18,SP98,0,0,1,4.0,0.3034,0.44296399999999997
17.3,4.1,22,22.0,25,SP98,0,0,1,-3.0,0.7092999999999999,1.0355779999999999
6.6,5.6,43,22.0,16,SP98,0,0,0,6.0,0.36959999999999993,0.5396159999999999
14.3,4.1,26,22.0,20,SP98,0,0,0,2.0,0.5862999999999999,0.8559979999999999
13.3,4.6,33,22.0,18,SP98,0,0,0,4.0,0.6118,0.893228
8.3,4.9,26,22.0,23,SP98,0,0,0,-1.0,0.40670000000000006,0.593782
12.7,4.5,39,22.0,27,SP98,0,0,1,-5.0,0.5714999999999999,0.8343899999999999
16.5,4.1,47,22.0,14,SP98,0,0,0,8.0,0.6764999999999999,0.9876899999999998
20.6,4.1,38,22.0,21,SP98,0,0,0,1.0,0.8445999999999999,1.2331159999999999
16.3,4.5,58,22.0,16,SP98,0,0,0,6.0,0.7335,1.07091
18.7,4.2,65,25.0,18,SP98,1,0,1,7.0,0.7854,1.146684
36.5,3.9,54,23.0,18,SP98,0,0,1,5.0,1.4235,2.07831
19.0,5.0,35,22.0,15,SP98,1,0,1,7.0,0.9500000000000001,1.387
16.6,4.4,46,22.0,5,SP98,1,0,0,17.0,0.7304000000000002,1.0663840000000002
29.9,4.5,32,22.0,18,SP98,1,0,0,4.0,1.3455,1.96443
16.0,3.8,42,22.0,11,SP98,0,0,0,11.0,0.608,0.8876799999999999
21.1,5.1,33,22.0,10,SP98,0,1,0,12.0,1.0761,1.5711060000000001
16.0,3.9,40,22.0,10,SP98,0,0,0,12.0,0.624,0.91104
11.9,5.3,34,22.0,13,SP98,0,0,0,9.0,0.6307,0.920822
10.1,4.2,35,22.0,16,SP98,0,0,0,6.0,0.4242,0.619332
31.9,4.3,33,22.0,16,SP98,0,0,0,6.0,1.3717,2.0026819999999996
18.7,4.0,60,22.0,13,SP98,0,0,0,9.0,0.748,1.09208
10.8,4.7,48,22.0,17,SP98,0,0,1,5.0,0.5076,0.7410960000000001
19.8,4.0,56,22.0,17,SP98,0,0,1,5.0,0.792,1.15632
11.3,4.3,38,22.0,17,SP98,0,0,0,5.0,0.4859,0.709414
11.5,5.3,53,22.0,15,SP98,0,0,0,7.0,0.6094999999999999,0.8898699999999998
21.4,5.2,51,22.0,13,SP98,0,0,0,9.0,1.1128,1.624688
32.0,4.9,53,22.0,15,SP98,0,0,0,7.0,1.568,2.28928
41.9,4.7,53,22.0,14,SP98,0,0,0,8.0,1.9692999999999998,2.8751779999999996
211.0,4.6,80,22.0,20,SP98,0,0,0,2.0,9.706,14.17076
